Gun Name,Rarity,Upgrade Level,Damage,HS Damage,Shooting Delay,Spread Intensity,Spread Per Shot,Spread Recovery,Snappiness,Return Speed,Akimbo
ASH-12,Legendary,0,280,840,0.1026,0.00192,0.00195,16.84,55,13,NO
ASH-12,Legendary,1,328,983,0.0995,0.00163,0.00165,17.63,57,14,NO
ASH-12,Legendary,2,434,1302,0.0963,0.00138,0.0014,18.42,59,14,NO
ASH-12,Legendary,3,652,1957,0.0932,0.00118,0.00118,19.21,61,15,NO
ASH-12,Legendary,4,1134,3402,0.09,0.001,0.001,20,62,15,NO
Hudson H9,Common,0,10,25,0.15,0.02,0.0343,8,15,10,NO
Hudson H9,Common,1,12,29,0.1468,0.01708,0.02848,9.26,16,11,NO
Hudson H9,Common,2,16,39,0.1437,0.01459,0.02364,10.53,17,12,NO
Hudson H9,Common,3,23,58,0.1405,0.01246,0.01963,11.79,19,12,NO
Hudson H9,Common,4,40,101,0.1374,0.01064,0.0163,13.05,20,13,NO
Hudson H9,Rare,0,20,50,0.1342,0.00909,0.01353,14.32,21,14,NO
Hudson H9,Rare,1,23,58,0.1311,0.00777,0.01123,15.58,22,15,NO
Hudson H9,Rare,2,31,78,0.1279,0.00663,0.00933,16.84,23,16,NO
Hudson H9,Rare,3,47,116,0.1247,0.00567,0.00774,18.11,24,16,NO
Hudson H9,Rare,4,81,202,0.1216,0.00484,0.00643,19.37,26,17,NO
Hudson H9,Epic,0,40,100,0.1184,0.00413,0.00534,20.63,27,18,NO
Hudson H9,Epic,1,47,117,0.1153,0.00353,0.00443,21.89,28,19,NO
Hudson H9,Epic,2,62,155,0.1121,0.00302,0.00368,23.16,29,19,NO
Hudson H9,Epic,3,93,233,0.1089,0.00258,0.00305,24.42,30,20,NO
Hudson H9,Epic,4,162,405,0.1058,0.0022,0.00254,25.68,32,21,NO
Hudson H9 (Akimbo),Legendary,0,80,200,0.1026,0.00188,0.0021,26.95,33,22,YES
Hudson H9 (Akimbo),Legendary,1,94,234,0.0995,0.0016,0.00175,28.21,34,23,YES
Hudson H9 (Akimbo),Legendary,2,124,310,0.0963,0.00137,0.00145,29.47,35,23,YES
Hudson H9 (Akimbo),Legendary,3,186,466,0.0932,0.00117,0.0012,30.74,36,24,YES
Hudson H9 (Akimbo),Legendary,4,324,810,0.09,0.001,0.001,32,38,25,YES
FiveSeven,Common,0,12,30,0.12,0.01,0.0343,8,25,20,NO
FiveSeven,Common,1,14,35,0.1175,0.00886,0.02848,9.26,27,22,NO
FiveSeven,Common,2,19,46,0.1149,0.00785,0.02364,10.53,29,23,NO
FiveSeven,Common,3,28,70,0.1124,0.00695,0.01963,11.79,31,25,NO
FiveSeven,Common,4,49,121,0.1099,0.00616,0.0163,13.05,33,26,NO
FiveSeven,Rare,0,24,60,0.1074,0.00546,0.01353,14.32,35,28,NO
FiveSeven,Rare,1,28,70,0.1048,0.00483,0.01123,15.58,37,29,NO
FiveSeven,Rare,2,37,93,0.1023,0.00428,0.00933,16.84,39,31,NO
FiveSeven,Rare,3,56,140,0.0998,0.00379,0.00774,18.11,41,33,NO
FiveSeven,Rare,4,97,243,0.0973,0.00336,0.00643,19.37,43,34,NO
FiveSeven,Epic,0,48,120,0.0947,0.00298,0.00534,20.63,45,36,NO
FiveSeven,Epic,1,56,140,0.0922,0.00264,0.00443,21.89,47,37,NO
FiveSeven,Epic,2,74,186,0.0897,0.00234,0.00368,23.16,49,39,NO
FiveSeven,Epic,3,112,280,0.0872,0.00207,0.00305,24.42,51,41,NO
FiveSeven,Epic,4,194,486,0.0846,0.00183,0.00254,25.68,53,42,NO
FiveSeven (Akimbo),Legendary,0,96,240,0.0821,0.00162,0.0021,26.95,55,44,YES
FiveSeven (Akimbo),Legendary,1,112,281,0.0796,0.00144,0.00175,28.21,57,45,YES
FiveSeven (Akimbo),Legendary,2,149,372,0.0771,0.00127,0.00145,29.47,59,47,YES
FiveSeven (Akimbo),Legendary,3,224,559,0.0745,0.00113,0.0012,30.74,61,48,YES
FiveSeven (Akimbo),Legendary,4,389,972,0.072,0.001,0.001,32,62,50,YES
Ruger Mark IV,Common,0,45,270,0.5,0.001,0.0343,8,35,5,NO
Ruger Mark IV,Common,1,53,316,0.4895,0.001,0.02848,9.26,38,5,NO
Ruger Mark IV,Common,2,70,418,0.4789,0.001,0.02364,10.53,41,6,NO
Ruger Mark IV,Common,3,105,629,0.4684,0.001,0.01963,11.79,43,6,NO
Ruger Mark IV,Common,4,182,1094,0.4579,0.001,0.0163,13.05,46,7,NO
Ruger Mark IV,Rare,0,90,540,0.4474,0.001,0.01353,14.32,49,7,NO
Ruger Mark IV,Rare,1,105,632,0.4368,0.001,0.01123,15.58,52,7,NO
Ruger Mark IV,Rare,2,140,837,0.4263,0.001,0.00933,16.84,54,8,NO
Ruger Mark IV,Rare,3,210,1258,0.4158,0.001,0.00774,18.11,57,8,NO
Ruger Mark IV,Rare,4,364,2187,0.4053,0.001,0.00643,19.37,60,9,NO
Ruger Mark IV,Epic,0,180,1080,0.3947,0.001,0.00534,20.63,63,9,NO
Ruger Mark IV,Epic,1,211,1264,0.3842,0.001,0.00443,21.89,65,9,NO
Ruger Mark IV,Epic,2,279,1674,0.3737,0.001,0.00368,23.16,68,10,NO
Ruger Mark IV,Epic,3,419,2516,0.3632,0.001,0.00305,24.42,71,10,NO
Ruger Mark IV,Epic,4,729,4374,0.3526,0.001,0.00254,25.68,74,11,NO
Ruger Mark IV (Akimbo),Legendary,0,360,2160,0.3421,0.001,0.0021,26.95,76,11,YES
Ruger Mark IV (Akimbo),Legendary,1,421,2527,0.3316,0.001,0.00175,28.21,79,11,YES
Ruger Mark IV (Akimbo),Legendary,2,558,3348,0.3211,0.001,0.00145,29.47,82,12,YES
Ruger Mark IV (Akimbo),Legendary,3,839,5033,0.3105,0.001,0.0012,30.74,85,12,YES
Ruger Mark IV (Akimbo),Legendary,4,1458,8748,0.3,0.001,0.001,32,88,12,YES
MicroUzi,Common,0,8,16,0.05,0.035,0.0103,6,10,8,NO
MicroUzi,Common,1,9,19,0.0489,0.02903,0.00911,6.95,11,9,NO
MicroUzi,Common,2,12,25,0.0479,0.02407,0.00806,7.89,12,9,NO
MicroUzi,Common,3,19,37,0.0468,0.01996,0.00713,8.84,12,10,NO
MicroUzi,Common,4,32,65,0.0458,0.01656,0.0063,9.79,13,11,NO
MicroUzi,Rare,0,16,32,0.0447,0.01373,0.00558,10.74,14,11,NO
MicroUzi,Rare,1,19,37,0.0437,0.01139,0.00493,11.68,15,12,NO
MicroUzi,Rare,2,25,50,0.0426,0.00944,0.00436,12.63,16,12,NO
MicroUzi,Rare,3,37,75,0.0416,0.00783,0.00386,13.58,16,13,NO
MicroUzi,Rare,4,65,130,0.0405,0.0065,0.00341,14.53,17,14,NO
MicroUzi,Epic,0,32,64,0.0395,0.00539,0.00302,15.47,18,14,NO
MicroUzi,Epic,1,37,75,0.0384,0.00447,0.00267,16.42,19,15,NO
MicroUzi,Epic,2,50,99,0.0374,0.00371,0.00236,17.37,19,16,NO
MicroUzi,Epic,3,75,149,0.0363,0.00307,0.00209,18.32,20,16,NO
MicroUzi,Epic,4,130,259,0.0353,0.00255,0.00185,19.26,21,17,NO
MicroUzi (Akimbo),Legendary,0,64,128,0.0342,0.00211,0.00163,20.21,22,17,YES
MicroUzi (Akimbo),Legendary,1,75,150,0.0332,0.00175,0.00145,21.16,23,18,YES
MicroUzi (Akimbo),Legendary,2,99,198,0.0321,0.00145,0.00128,22.11,23,19,YES
MicroUzi (Akimbo),Legendary,3,149,298,0.0311,0.00121,0.00113,23.05,24,19,YES
MicroUzi (Akimbo),Legendary,4,259,518,0.03,0.001,0.001,24,25,20,YES
CZ 600 Trail,Common,0,80,640,0.9789,0.36051,0.48625,3.47,40,3,NO
CZ 600 Trail,Common,1,100,800,0.95785,0.33537,0.45089,3.94,44,3,NO
CZ 600 Trail,Common,2,120,960,0.9368,0.31022,0.41554,4.42,48,4,NO
CZ 600 Trail,Common,3,140,1120,0.91575,0.28508,0.38018,4.89,52,4,NO
CZ 600 Trail,Common,4,160,1280,0.8947,0.25994,0.34482,5.37,56,4,NO
CZ 600 Trail,Rare,0,160,1280,0.8947,0.25994,0.34482,5.37,56,4,NO
CZ 600 Trail,Rare,1,200,1600,0.8684,0.24181,0.31975,5.96,60,4,NO
CZ 600 Trail,Rare,2,240,1920,0.8421,0.22368,0.29468,6.56,64,4,NO
CZ 600 Trail,Rare,3,280,2240,0.8158,0.20555,0.2696,7.15,68,5,NO
CZ 600 Trail,Rare,4,320,2560,0.7895,0.18742,0.24453,7.74,72,5,NO
CZ 600 Trail,Epic,0,320,2560,0.7895,0.18742,0.24453,7.74,72,5,NO
CZ 600 Trail,Epic,1,400,3200,0.76318,0.17435,0.22675,8.33,76,6,NO
CZ 600 Trail,Epic,2,480,3840,0.73685,0.16128,0.20896,8.93,80,6,NO
CZ 600 Trail,Epic,3,560,4480,0.71053,0.1482,0.19118,9.52,83,6,NO
CZ 600 Trail,Epic,4,640,5120,0.6842,0.13513,0.1734,10.11,87,7,NO
CZ 600 Trail,Legendary,0,640,5120,0.6842,0.13513,0.1734,10.11,87,7,NO
CZ 600 Trail,Legendary,1,1128,9024,0.66315,0.11891,0.15185,10.58,90,7,NO
CZ 600 Trail,Legendary,2,1616,12928,0.6421,0.10269,0.1303,11.06,94,8,NO
CZ 600 Trail,Legendary,3,2104,16832,0.62105,0.08647,0.10875,11.53,97,8,NO
CZ 600 Trail,Legendary,4,2592,20736,0.6,0.07025,0.0872,12.0,100,8,NO
Uzi,Common,0,14,28,0.09,0.03,0.0103,6,18,12,NO
Uzi,Common,1,16,33,0.0881,0.02508,0.00911,6.95,19,13,NO
Uzi,Common,2,22,43,0.0862,0.02097,0.00806,7.89,21,14,NO
Uzi,Common,3,33,65,0.0843,0.01753,0.00713,8.84,22,15,NO
Uzi,Common,4,57,113,0.0824,0.01466,0.0063,9.79,24,16,NO
Uzi,Rare,0,28,56,0.0805,0.01226,0.00558,10.74,25,17,NO
Uzi,Rare,1,33,66,0.0786,0.01025,0.00493,11.68,27,18,NO
Uzi,Rare,2,43,87,0.0767,0.00857,0.00436,12.63,28,19,NO
Uzi,Rare,3,65,130,0.0748,0.00716,0.00386,13.58,29,20,NO
Uzi,Rare,4,113,227,0.0729,0.00599,0.00341,14.53,31,21,NO
Uzi,Epic,0,56,112,0.0711,0.00501,0.00302,15.47,32,21,NO
Uzi,Epic,1,66,131,0.0692,0.00419,0.00267,16.42,34,22,NO
Uzi,Epic,2,87,174,0.0673,0.0035,0.00236,17.37,35,23,NO
Uzi,Epic,3,130,261,0.0654,0.00293,0.00209,18.32,36,24,NO
Uzi,Epic,4,227,454,0.0635,0.00245,0.00185,19.26,38,25,NO
Uzi,Legendary,0,112,224,0.0616,0.00205,0.00163,20.21,39,26,NO
Uzi,Legendary,1,131,262,0.0597,0.00171,0.00145,21.16,41,27,NO
Uzi,Legendary,2,174,347,0.0578,0.00143,0.00128,22.11,42,28,NO
Uzi,Legendary,3,261,522,0.0559,0.0012,0.00113,23.05,44,29,NO
Uzi,Legendary,4,454,907,0.054,0.001,0.001,24,45,30,NO
Scorpion EVO,Common,0,11,24,0.06,0.035,0.0103,6,22,15,NO
Scorpion EVO,Common,1,13,28,0.0587,0.02903,0.00911,6.95,24,16,NO
Scorpion EVO,Common,2,17,37,0.0575,0.02407,0.00806,7.89,25,17,NO
Scorpion EVO,Common,3,26,56,0.0562,0.01996,0.00713,8.84,27,19,NO
Scorpion EVO,Common,4,45,97,0.0549,0.01656,0.0063,9.79,29,20,NO
Scorpion EVO,Rare,0,22,48,0.0537,0.01373,0.00558,10.74,31,21,NO
Scorpion EVO,Rare,1,26,56,0.0524,0.01139,0.00493,11.68,32,22,NO
Scorpion EVO,Rare,2,34,74,0.0512,0.00944,0.00436,12.63,34,23,NO
Scorpion EVO,Rare,3,51,112,0.0499,0.00783,0.00386,13.58,36,24,NO
Scorpion EVO,Rare,4,89,194,0.0486,0.0065,0.00341,14.53,38,26,NO
Scorpion EVO,Epic,0,44,96,0.0474,0.00539,0.00302,15.47,39,27,NO
Scorpion EVO,Epic,1,51,112,0.0461,0.00447,0.00267,16.42,41,28,NO
Scorpion EVO,Epic,2,68,149,0.0448,0.00371,0.00236,17.37,43,29,NO
Scorpion EVO,Epic,3,103,224,0.0436,0.00307,0.00209,18.32,45,30,NO
Scorpion EVO,Epic,4,178,389,0.0423,0.00255,0.00185,19.26,46,32,NO
Scorpion EVO,Legendary,0,88,192,0.0411,0.00211,0.00163,20.21,48,33,NO
Scorpion EVO,Legendary,1,103,225,0.0398,0.00175,0.00145,21.16,50,34,NO
Scorpion EVO,Legendary,2,136,298,0.0385,0.00145,0.00128,22.11,52,35,NO
Scorpion EVO,Legendary,3,205,447,0.0373,0.00121,0.00113,23.05,53,36,NO
Scorpion EVO,Legendary,4,356,778,0.036,0.001,0.001,24,55,38,NO
P90,Common,0,13,26,0.07,0.029,0.0103,6,20,18,NO
P90,Common,1,15,30,0.0685,0.02429,0.00911,6.95,22,19,NO
P90,Common,2,20,40,0.0671,0.02035,0.00806,7.89,23,21,NO
P90,Common,3,30,61,0.0656,0.01704,0.00713,8.84,25,22,NO
P90,Common,4,53,105,0.0641,0.01427,0.0063,9.79,26,24,NO
P90,Rare,0,26,52,0.0626,0.01196,0.00558,10.74,28,25,NO
P90,Rare,1,30,61,0.0612,0.01001,0.00493,11.68,29,27,NO
P90,Rare,2,40,81,0.0597,0.00839,0.00436,12.63,31,28,NO
P90,Rare,3,61,121,0.0582,0.00703,0.00386,13.58,33,29,NO
P90,Rare,4,105,211,0.0567,0.00588,0.00341,14.53,34,31,NO
P90,Epic,0,52,104,0.0553,0.00493,0.00302,15.47,36,32,NO
P90,Epic,1,61,122,0.0538,0.00413,0.00267,16.42,37,34,NO
P90,Epic,2,81,161,0.0523,0.00346,0.00236,17.37,39,35,NO
P90,Epic,3,121,242,0.0508,0.0029,0.00209,18.32,41,36,NO
P90,Epic,4,211,421,0.0494,0.00243,0.00185,19.26,42,38,NO
P90,Legendary,0,104,208,0.0479,0.00203,0.00163,20.21,44,39,NO
P90,Legendary,1,122,243,0.0464,0.0017,0.00145,21.16,45,41,NO
P90,Legendary,2,161,322,0.0449,0.00143,0.00128,22.11,47,42,NO
P90,Legendary,3,242,485,0.0435,0.00119,0.00113,23.05,48,44,NO
P90,Legendary,4,421,842,0.042,0.001,0.001,24,50,45,NO
